ID,Name,Move Number,Move Name,Move Type,Wheel Size,Power,Action phrase,Additional Rules
19,Mudkip,3,Tackle,White,24,10,knocks out,
19,Mudkip,4,Miss,Red,12,0,misses,
20,Bidoof,1,Cut,White,44,50,knocks out,
20,Bidoof,2,Rock Smash,White,48,20,knocks out,
20,Bidoof,3,Miss,Red,4,0,misses,
21,Steelix,1,Iron Tail,White,16,90,knocks out,
21,Steelix,2,Screech,Purple,20,1,waits,All neighboring pokemon have wait.
21,Steelix,3,Crunch,White,32,70,knocks out,
21,Steelix,4,Explosion,Purple,24,2,explodes,This pokemon and all neighboring pokemon faint.
21,Steelix,5,Miss,Red,4,0,misses,
22,Marill,1,Tackle,White,20,30,knocks out,
22,Marill,2,Water Gun,White,28,40,knocks out,
22,Marill,3,Rollout,White,28,30x,knocks out,Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins.
22,Marill,4,Miss,Red,20,0,misses,
23,Raticate,1,Hyper Fang,White,28,70,knocks out,
23,Raticate,2,Tackle,White,64,10,knocks out,
23,Raticate,3,Miss,Red,4,0,misses,
24,Machop,1,Miss,Red,4,0,misses,
24,Machop,2,Focus Punch,White,56,40,knocks out,
24,Machop,3,Miss,Red,4,0,misses,
24,Machop,4,Dodge,Blue,28,0,dodges,
25,Luxray,1,Bite,White,24,20,knocks out,
25,Luxray,2,Roar,Purple,28,2,moves;waits,The battle opponent is knocked back one space and gains Wait 1.
25,Luxray,3,Crunch,White,24,50,knocks out,
25,Luxray,4,Miss,Red,20,0,misses,
26,Poliwag,1,Bubble,White,24,20,knocks out,
26,Poliwag,2,Hypnosis,White,28,2,sleeps,
26,Poliwag,3,Bubble,White,24,20,knocks out,
26,Poliwag,4,Dodge,Blue,16,0,dodges,
26,Poliwag,5,Miss,Red,4,0,misses,
27,Teddiursa,1,Scratch,White,48,30,knocks out,
27,Teddiursa,2,Feint Attack,White,12,60,knocks out,
27,Teddiursa,3,Fake Tears,White,24,0,forces respin,Spin again until an attack that isn't fake Tears is rolled. Damage attacks rolled this way deal +20 damage.
27,Teddiursa,4,Miss,Red,12,0,misses,
28,Tyrogue,1,High Jump Kick,White,20,50,knocks out,
28,Tyrogue,2,Tackle,White,72,30,knocks out,
28,Tyrogue,3,Miss,Red,4,0,misses,
29,Chespin,1,Vine Whip,White,24,30,knocks out,
29,Chespin,2,Tackle,White,24,20,knocks out,
29,Chespin,3,Vine Whip,White,24,50,knocks out,
29,Chespin,4,Protect,Blue,20,0,protects against,This pokemon gains Wait 1.
29,Chespin,5,Miss,Red,4,0,misses,
30,Lugia,1,Miss,Red,8,0,misses,
30,Lugia,2,Aeroblast,White,24,70,knocks out,
30,Lugia,3,Hurricane,Purple,24,3,benches;waits,The battle opponent is moved to the bench and gains Wait 1.
30,Lugia,4,Aeroblast,White,24,70,knocks out,
30,Lugia,5,Miss,Red,8,0,misses,
30,Lugia,6,Dodge,Blue,8,0,dodges,
40,Meowth,1,Fake Out,Purple,32,3,swaps with,This Pokemon switches places with its battle opponent
40,Meowth,2,Scratch,White,36,40,knocks out,
40,Meowth,3,Dodge,Blue,20,0,dodges,
40,Meowth,4,Miss,Red,8,0,misses,
41,Zubat,1,Leech Life,White,32,20,knocks out,
41,Zubat,2,Air Cutter,White,12,40,knocks out,
41,Zubat,3,Supersonic,Purple,32,2,confuses,The battle opponent becomes confused
41,Zubat,4,Miss,Red,20,0,misses,
42,Ho-Oh,1,Gust,White,32,50,knocks out,
42,Ho-Oh,2,Fire Blast,White,28,100,knocks out,
42,Ho-Oh,3,Rainbow Wing,Purple,24,3,This pokemon moves 2 steps away.,
42,Ho-Oh,4,Miss,Red,12,0,misses,
170,Greninja,1,Miss,Red,4,0,misses,
170,Greninja,2,Dodge,Blue,28,0,dodges,
170,Greninja,3,Hydro Pump,White,20,60,knocks out,
170,Greninja,4,Miss,Red,4,0,misses,
170,Greninja,5,Water Shuriken*,Gold,40,20x,knocks out,"Spin again until Water Shuriken Attack does not land - damage is multiplied by the number of Water Shuriken Attack spins. An opponent Pokemon next to the target spins, and if it spins a Purple Attack then it is knocked out"
234,Latios,1,Dodge,Blue,12,0,dodges,
234,Latios,2,Luster Purge,White,20,120,knocks out,
234,Latios,3,Dragon Breath,White,32,70,knocks out,
234,Latios,4,Dodge,Blue,12,0,dodges,
234,Latios,5,Miss,Red,4,0,misses,
234,Latios,6,Psychic,White,16,60,knocks out,
250,Magmar,1,Fire Punch,White,52,50,knocks out;burns,"If this pokemon is knocked out, the battle opponent becomes burned."
250,Magmar,2,Miss,Red,16,0,misses,
250,Magmar,3,Confuse Ray,Purple,28,3,confuses,
251,Shuppet,1,Miss,Red,12,0,misses,
251,Shuppet,2,Will-o-Wisp,Purple,28,1,burns,The battle opponent becomes burned
251,Shuppet,3,Night Shade,White,56,10,knocks out,
262,Magmortar,1,MIss,Red,16,0,misses,
262,Magmortar,2,Flame Gun,Purple,28,2,knocks out,Also knocks out one adjacent pokemon
262,Magmortar,3,Fire Punch,White,52,60,knocks out;burns,"If this pokemon is knocked out, the battle opponent becomes burned."
237,Latias,1,Fly away,Purple,12,3,jumps over,This pokemon jumps over the battle opponent and lands on a surrounding point
237,Latias,2,Fly Away,Purple,12,3,jumps over,This pokemon jumps over the battle opponent and lands on a surrounding point
237,Latias,3,Mist Ball,White,20,110,knocks out,
237,Latias,4,Dragon Breathe,White,32,70,knocks out,
237,Latias,5,Psychic,White,16,60,knocks out,
237,Latias,6,Miss,Red,4,0,misses,
269,Zapdos,1,Steel Wing,White,16,50,knocks out,
269,Zapdos,2,Thunder Crash,Gold,32,100,knocks out,
269,Zapdos,3,Miss,Red,12,0,misses,
269,Zapdos,4,Roost,Blue,16,0,full heals;waits,"Recovers from all staus effects, then the pokemon waits 3"
269,Zapdos,5,Thunder Charge,Purple,20,2,adds charge,"Adds a Charge Marker to this pokemon, which can be expended before you move the pokemon. When this is expended, the opposing pokemon, as well as any pokemon in the same row, are paralyzed, and the turn ends."
271,Moltres,1,Steel Wing,White,16,60,knocks out,
271,Moltres,2,Crushing Flames,White,32,110,knocks out,
271,Moltres,3,Miss,Red,12,0,misses,
271,Moltres,4,Roost,Blue,16,0,full heals;waits,"Recovers from all staus effects, then the pokemon waits 3"
271,Moltres,5,Flame Charge,Purple,20,2,adds charge,"Adds a Charge Marker to this pokemon, which can be expended before you move the pokemon. When this is expended, the opposing pokemon, as well as any pokemon in the same row, are burned, and the turn ends."
273,Floatzel,1,Miss,Red,8,0,misses,
273,Floatzel,2,Dodge,Blue,12,0,dodges,
273,Floatzel,3,Aqua Jet,Gold,28,20,knocks out,
273,Floatzel,4,Dodge,Blue,12,0,dodges,
273,Floatzel,5,Surf,White,36,50,knocks out,
274,Articuno,1,Steel Wing,White,16,70,knocks out,
274,Articuno,2,Cold Crush,White,32,90,knocks out,
274,Articuno,3,Miss,Red,12,0,misses,
274,Articuno,4,Roost,Blue,16,0,full heals;waits,"Recovers from all staus effects, then the pokemon waits 3"
274,Articuno,5,Ice Charge,Purple,20,2,adds charge,"Adds a Charge Marker to this pokemon, which can be expended before you move the pokemon. When this is expended, the opposing pokemon, as well as any pokemon in the same row, are frozen, and the turn ends."
